CODGEO;LIBGEO;DENS;LIBDENS;PMUN13;P1;P2;P3;P4;P5;P6;P7
01064;Briord;6;Rural à habitat dispersé;946;0,0;0,0;0,0;0,0;0,0;97,2;2,8
01065;Buellas;5;Bourgs ruraux;1734;0,0;0,0;0,0;0,0;57,9;40,7;1,4
01066;La Burbanche;7;Rural à habitat très dispersé;72;0,0;0,0;0,0;0,0;0,0;0,0;100,0
01067;Ceignes;6;Rural à habitat dispersé;262;0,0;0,0;0,0;0,0;0,0;69,9;30,1
01068;Cerdon;6;Rural à habitat dispersé;749;0,0;0,0;0,0;0,0;0,0;85,9;14,1
01069;Certines;5;Bourgs ruraux;1440;0,0;0,0;0,0;0,0;50,4;47,6;2,1
01071;Cessy;4;Ceintures urbaines;4524;0,0;13,6;0,0;73,9;0,0;12,4;0,0
01072;Ceyzériat;5;Bourgs ruraux;3039;0,0;0,0;0,0;0,0;90,6;7,6;1,8
01073;Ceyzérieu;6;Rural à habitat dispersé;1005;0,0;0,0;0,0;0,0;0,0;87,4;12,6
01074;Chalamont;5;Bourgs ruraux;2409;0,0;0,0;0,0;0,0;64,1;26,1;9,8
01075;Chaleins;5;Bourgs ruraux;1199;0,0;0,0;0,0;0,0;49,6;33,9;16,5
01076;Chaley;6;Rural à habitat dispersé;146;0,0;0,0;0,0;0,0;0,0;89,4;10,6
01077;Challes-la-Montagne;6;Rural à habitat dispersé;181;0,0;0,0;0,0;0,0;0,0;59,1;40,9
01078;Challex;3;Petites villes;1385;0,0;0,0;93,6;0,0;0,0;2,3;4,1
01079;Champagne-en-Valromey;6;Rural à habitat dispersé;805;0,0;0,0;0,0;0,0;0,0;69,1;30,9
01080;Champdor;6;Rural à habitat dispersé;452;0,0;0,0;0,0;0,0;0,0;94,6;5,4
01081;Champfromier;6;Rural à habitat dispersé;713;0,0;0,0;0,0;0,0;0,0;89,8;10,2
01082;Chanay;6;Rural à habitat dispersé;646;0,0;0,0;0,0;0,0;0,0;88,6;11,4
01083;Chaneins;6;Rural à habitat dispersé;847;0,0;0,0;0,0;0,0;0,0;79,4;20,7
01084;Chanoz-Châtenay;6;Rural à habitat dispersé;756;0,0;0,0;0,0;0,0;0,0;70,1;29,9
01085;La Chapelle-du-Châtelard;6;Rural à habitat dispersé;375;0,0;0,0;0,0;0,0;0,0;64,4;35,6
01087;Charix;6;Rural à habitat dispersé;284;0,0;0,0;0,0;0,0;0,0;67,6;32,4
01088;Charnoz-sur-Ain;5;Bourgs ruraux;915;0,0;0,0;0,0;0,0;65,0;29,3;5,7
01089;Château-Gaillard;5;Bourgs ruraux;1940;0,0;0,0;0,0;32,2;41,7;25,4;0,7
01090;Châtenay;6;Rural à habitat dispersé;339;0,0;0,0;0,0;0,0;0,0;52,2;47,8
01091;Châtillon-en-Michaille;5;Bourgs ruraux;3173;0,0;20,1;0,0;4,3;51,1;22,9;1,6
01092;Châtillon-la-Palud;5;Bourgs ruraux;1573;0,0;0,0;0,0;0,0;60,6;34,9;4,5
01093;Châtillon-sur-Chalaronne;5;Bourgs ruraux;4957;0,0;0,0;0,0;0,0;83,4;12,2;4,4
01094;Chavannes-sur-Reyssouze;6;Rural à habitat dispersé;732;0,0;0,0;0,0;0,0;0,0;63,5;36,6
01095;Chavannes-sur-Suran;6;Rural à habitat dispersé;641;0,0;0,0;0,0;0,0;0,0;87,7;12,3
01096;Chaveyriat;6;Rural à habitat dispersé;975;0,0;0,0;0,0;0,0;0,0;72,6;27,4
01097;Chavornay;6;Rural à habitat dispersé;217;0,0;0,0;0,0;0,0;0,0;89,8;10,2
01098;Chazey-Bons;6;Rural à habitat dispersé;831;0,0;0,0;0,0;0,0;0,0;93,9;6,1
